W50 h=2 spot-check -- class 3
relator: fs^-1 * fx0^-1 * fs * fx0^-3 * fx1 * fs^-1 * fx1^-1 * fs * fx1 * fs^-1 * fx1 * fs * fu1^-1 * fv1^-1 * fu1 * fv1 * fu2^-1 * fv2^-1 * fu2 * fv2
Q : order 2^166, layers [ 7, 27, 132 ], Q^ab [ 2, 8, 8, 8, 8, 8, 8 ]  (0.280 s)
cross-check: Rel(standard generators) = 1 in Q .. OK

  j   t   s | lvl1 tries | verdict    | delta ranks
------------+------------+------------+-------------------------------
  0   0   1 |          6 | solvable   | [L3:124/132]
  0   0   2 |          6 | solvable   | [L3:124/132]
  0   0   3 |          6 | solvable   | [L3:124/132]
  0   0   4 |          6 | solvable   |
  0   0   5 |          6 | solvable   | [L3:124/132]
  0   0   6 |          6 | solvable   | [L3:124/132]
  0   0   7 |          6 | solvable   | [L3:124/132]
  0   1   0 |          6 | solvable   | [L3:124/132]
  0   1   1 |          6 | solvable   | [L3:124/132]
  0   1   2 |          6 | solvable   | [L3:124/132]
  0   1   3 |          6 | solvable   | [L3:124/132]
  0   1   4 |          6 | solvable   | [L3:124/132]
  0   1   5 |          6 | solvable   | [L3:124/132]
  0   1   6 |          6 | solvable   | [L3:124/132]
  0   1   7 |          6 | solvable   | [L3:124/132]
  0   2   0 |          6 | solvable   | [L3:124/132]
  0   2   1 |          6 | solvable   | [L3:124/132]
  0   2   2 |          6 | solvable   | [L3:124/132]
  0   2   3 |          6 | solvable   | [L3:124/132]
  0   2   4 |          6 | solvable   | [L3:124/132]
  0   2   5 |          6 | solvable   | [L3:124/132]
  0   2   6 |          6 | solvable   | [L3:124/132]
  0   2   7 |          6 | solvable   | [L3:124/132]
  0   3   0 |          6 | solvable   | [L3:124/132]
  0   3   1 |          6 | solvable   | [L3:124/132]
  0   3   2 |          6 | solvable   | [L3:124/132]
  0   3   3 |          6 | solvable   | [L3:124/132]
  0   3   4 |          6 | solvable   | [L3:124/132]
  0   3   5 |          6 | solvable   | [L3:124/132]
  0   3   6 |          6 | solvable   | [L3:124/132]
  0   3   7 |          6 | solvable   | [L3:124/132]
  0   4   0 |          6 | solvable   |
  0   4   1 |          6 | solvable   | [L3:124/132]
  0   4   2 |          6 | solvable   | [L3:124/132]
  0   4   3 |          6 | solvable   | [L3:124/132]
  0   4   4 |          6 | solvable   |
  0   4   5 |          6 | solvable   | [L3:124/132]
  0   4   6 |          6 | solvable   | [L3:124/132]
  0   4   7 |          6 | solvable   | [L3:124/132]
  0   5   0 |          6 | solvable   | [L3:124/132]
  0   5   1 |          6 | solvable   | [L3:124/132]
  0   5   2 |          6 | solvable   | [L3:124/132]
  0   5   3 |          6 | solvable   | [L3:124/132]
  0   5   4 |          6 | solvable   | [L3:124/132]
  0   5   5 |          6 | solvable   | [L3:124/132]
  0   5   6 |          6 | solvable   | [L3:124/132]
  0   5   7 |          6 | solvable   | [L3:124/132]
  0   6   0 |          6 | solvable   | [L3:124/132]
  0   6   1 |          6 | solvable   | [L3:124/132]
  0   6   2 |          6 | solvable   | [L3:124/132]
  0   6   3 |          6 | solvable   | [L3:124/132]
  0   6   4 |          6 | solvable   | [L3:124/132]
  0   6   5 |          6 | solvable   | [L3:124/132]
  0   6   6 |          6 | solvable   | [L3:124/132]
  0   6   7 |          6 | solvable   | [L3:124/132]
  0   7   0 |          6 | solvable   | [L3:124/132]
  0   7   1 |          6 | solvable   | [L3:124/132]
  0   7   2 |          6 | solvable   | [L3:124/132]
  0   7   3 |          6 | solvable   | [L3:124/132]
  0   7   4 |          6 | solvable   | [L3:124/132]
  0   7   5 |          6 | solvable   | [L3:124/132]
  0   7   6 |          6 | solvable   | [L3:124/132]
  0   7   7 |          6 | solvable   | [L3:124/132]
  1   0   1 |          6 | solvable   | [L3:124/132]
  1   0   2 |          6 | solvable   | [L3:124/132]
  1   0   3 |          6 | solvable   | [L3:124/132]
  1   0   4 |          6 | solvable   |
  1   0   5 |          6 | solvable   | [L3:124/132]
  1   0   6 |          6 | solvable   | [L3:124/132]
  1   0   7 |          6 | solvable   | [L3:124/132]
  1   1   0 |          6 | solvable   | [L3:124/132]
  1   1   1 |          6 | solvable   | [L3:124/132]
  1   1   2 |          6 | solvable   | [L3:124/132]
  1   1   3 |          6 | solvable   | [L3:124/132]
  1   1   4 |          6 | solvable   | [L3:124/132]
  1   1   5 |          6 | solvable   | [L3:124/132]
  1   1   6 |          6 | solvable   | [L3:124/132]
  1   1   7 |          6 | solvable   | [L3:124/132]
  1   2   0 |          6 | solvable   | [L3:124/132]
  1   2   1 |          6 | solvable   | [L3:124/132]
  1   2   2 |          6 | solvable   | [L3:124/132]
  1   2   3 |          6 | solvable   | [L3:124/132]
  1   2   4 |          6 | solvable   | [L3:124/132]
  1   2   5 |          6 | solvable   | [L3:124/132]
  1   2   6 |          6 | solvable   | [L3:124/132]
  1   2   7 |          6 | solvable   | [L3:124/132]
  1   3   0 |          6 | solvable   | [L3:124/132]
  1   3   1 |          6 | solvable   | [L3:124/132]
  1   3   2 |          6 | solvable   | [L3:124/132]
  1   3   3 |          6 | solvable   | [L3:124/132]
  1   3   4 |          6 | solvable   | [L3:124/132]
  1   3   5 |          6 | solvable   | [L3:124/132]
  1   3   6 |          6 | solvable   | [L3:124/132]
  1   3   7 |          6 | solvable   | [L3:124/132]
  1   4   0 |          6 | solvable   |
  1   4   1 |          6 | solvable   | [L3:124/132]
  1   4   2 |          6 | solvable   | [L3:124/132]
  1   4   3 |          6 | solvable   | [L3:124/132]
  1   4   4 |          6 | solvable   |
  1   4   5 |          6 | solvable   | [L3:124/132]
  1   4   6 |          6 | solvable   | [L3:124/132]
  1   4   7 |          6 | solvable   | [L3:124/132]
  1   5   0 |          6 | solvable   | [L3:124/132]
  1   5   1 |          6 | solvable   | [L3:124/132]
  1   5   2 |          6 | solvable   | [L3:124/132]
  1   5   3 |          6 | solvable   | [L3:124/132]
  1   5   4 |          6 | solvable   | [L3:124/132]
  1   5   5 |          6 | solvable   | [L3:124/132]
  1   5   6 |          6 | solvable   | [L3:124/132]
  1   5   7 |          6 | solvable   | [L3:124/132]
  1   6   0 |          6 | solvable   | [L3:124/132]
  1   6   1 |          6 | solvable   | [L3:124/132]
  1   6   2 |          6 | solvable   | [L3:124/132]
  1   6   3 |          6 | solvable   | [L3:124/132]
  1   6   4 |          6 | solvable   | [L3:124/132]
  1   6   5 |          6 | solvable   | [L3:124/132]
  1   6   6 |          6 | solvable   | [L3:124/132]
  1   6   7 |          6 | solvable   | [L3:124/132]
  1   7   0 |          6 | solvable   | [L3:124/132]
  1   7   1 |          6 | solvable   | [L3:124/132]
  1   7   2 |          6 | solvable   | [L3:124/132]
  1   7   3 |          6 | solvable   | [L3:124/132]
  1   7   4 |          6 | solvable   | [L3:124/132]
  1   7   5 |          6 | solvable   | [L3:124/132]
  1   7   6 |          6 | solvable   | [L3:124/132]
  1   7   7 |          6 | solvable   | [L3:124/132]

SUMMARY h=2 class 3 : solvable 126, INFEASIBLE 0
DONE
