W50 depth sweep -- class 3
relator: fs^-1 * fx0^-1 * fs * fx0^-3 * fx1 * fs^-1 * fx1^-1 * fs * fx1 * fs^-1 * fx1 * fs * fu^-1 * fv^-1 * fu * fv
c0 = sqPivotExp = 2478564816510346471 mod 2^64  (odd: true)
Q_3 : order 2^68, layers [ 5, 14, 49 ], built in 0.010 s
cross-check: Rel(standard generators) = 1 in Q .. OK
Q^ab = [ 2, 8, 8, 8, 8 ]
Stage-A cache (16 residues mod 4) built in 3.300 s; survivor counts [ 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6 ]
markings: (t,s) in (Z/8)^2, stride 1

  t   s | #lvl1 | verdict    | delta ranks  [level: rank/target, dim ker]
--------+-------+------------+---------------------------------------------
  0   1 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  0   2 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  0   3 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  0   4 |     6 | solvable   |  (lvl1 [ 0, 0, 0, 0, 0 ])
  0   5 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  0   6 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  0   7 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  1   0 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  1   1 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  1   2 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  1   3 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  1   4 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  1   5 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  1   6 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  1   7 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  2   0 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  2   1 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  2   2 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  2   3 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  2   4 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  2   5 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  2   6 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  2   7 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  3   0 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  3   1 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  3   2 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  3   3 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  3   4 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  3   5 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  3   6 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  3   7 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  4   0 |     6 | solvable   |  (lvl1 [ 0, 0, 0, 0, 0 ])
  4   1 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  4   2 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  4   3 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  4   4 |     6 | solvable   |  (lvl1 [ 0, 0, 0, 0, 0 ])
  4   5 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  4   6 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  4   7 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  5   0 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  5   1 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  5   2 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  5   3 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  5   4 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  5   5 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  5   6 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  5   7 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  6   0 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  6   1 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  6   2 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  6   3 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  6   4 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  6   5 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  6   6 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 0, 0, 0, 0, 0 ])
  6   7 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 4, 4, 0, 0, 0 ])
  7   0 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  7   1 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  7   2 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  7   3 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  7   4 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  7   5 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])
  7   6 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 2, 2, 0, 0, 0 ])
  7   7 |     6 | solvable   | [L3:43/49,k17]  (lvl1 [ 6, 6, 0, 0, 0 ])

SUMMARY class 3 : solvable 63, INFEASIBLE 0, non-surjective delta events 60
DONE
