W50 depth sweep v2 -- class 5, mode tail
relator: fs^-1 * fx0^-1 * fs * fx0^-3 * fx1 * fs^-1 * fx1^-1 * fs * fx1 * fs^-1 * fx1 * fs * fu^-1 * fv^-1 * fu * fv
Q_5 : order 2^922, layers [ 5, 14, 49, 175, 679 ], Q^ab [ 2, 32, 32, 32, 32 ]  (163.120 s)
cross-check: Rel(standard generators) = 1 in Q .. OK
Stage-A cache built in 3.510 s; survivor counts {* 6^^16 *} (uniformly 6 = |GL_2(F_2)|)
markings: (t,s) in (Z/32)^2, 40 probed

  t   s | #lvl1 | verdict    | delta ranks  [level: rank/target, dim ker] | s
--------+-------+------------+------------------------------------------------
       (constraint-2 audit at the first marking: Index(Q,K) = 4^5 .. OK)
  0   8 |     6 | solvable   | [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 51.060
  8   0 |     6 | solvable   | [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 50.670
  8   8 |     6 | solvable   | [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 49.240
  0  16 |     6 | solvable   | (lvl1 [ 0, 0, 0, 0, 0 ]) | 50.000
 16   0 |     6 | solvable   | (lvl1 [ 0, 0, 0, 0, 0 ]) | 49.060
 16  16 |     6 | solvable   | (lvl1 [ 0, 0, 0, 0, 0 ]) | 49.260
  1   8 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 2, 2, 0, 0, 0 ]) | 67.920
  8   1 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 4, 4, 0, 0, 0 ]) | 68.550
  1  16 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 2, 2, 0, 0, 0 ]) | 68.090
 16   1 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 4, 4, 0, 0, 0 ]) | 68.770
  3   8 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 2, 2, 0, 0, 0 ]) | 67.320
  8   3 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 4, 4, 0, 0, 0 ]) | 69.070
  2  16 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 60.260
 16   2 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 60.790
  4   8 |     6 | solvable   | [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 52.820
  8   4 |     6 | solvable   | [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 52.120
 12  20 |     6 | solvable   | [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 52.130
 20  12 |     6 | solvable   | [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 52.710
  9  15 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 6, 6, 0, 0, 0 ]) | 73.130
 15   9 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 6, 6, 0, 0, 0 ]) | 72.750
  5  11 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 6, 6, 0, 0, 0 ]) | 73.990
 11   5 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 6, 6, 0, 0, 0 ]) | 74.160
 31  31 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 6, 6, 0, 0, 0 ]) | 74.740
 31   1 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 6, 6, 0, 0, 0 ]) | 73.700
  1  31 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 6, 6, 0, 0, 0 ]) | 74.060
 17  17 |     6 | solvable   | [L3:43/49,k17] [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 6, 6, 0, 0, 0 ]) | 74.880
 24   8 |     6 | solvable   | [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 49.910
  8  24 |     6 | solvable   | [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 49.710
 28   4 |     6 | solvable   | [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 53.280
  4  28 |     6 | solvable   | [L4:169/175,k66] [L5:673/679,k192] (lvl1 [ 0, 0, 0, 0, 0 ]) | 53.040
