W51 class-5 grid continuation: 951 uncleared markings remain after W50's 72; this run does indices 1..951
Q_5 : order 2^922, layers [ 5, 14, 49, 175, 679 ]  (16.500 s)
marking-independent commutator lists [L_{w-1},L_1] built in 0.000 s

  t   s | verdict    | L3 rank/target  L4 rank/target  L5 rank/target | coranks | defect in im | cert | secs
  0   9 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.590
  0  10 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.520
  0  11 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.580
  0  12 | solvable   | [ L3:--/49, L4:169/175, L5:673/679 ] | [ -1, 6, 6 ] | true         | true | 0.440
  0  13 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.610
  0  14 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.520
  0  15 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.570
  0  17 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.570
  0  18 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.530
  0  19 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.590
  0  20 | solvable   | [ L3:--/49, L4:169/175, L5:673/679 ] | [ -1, 6, 6 ] | true         | true | 0.430
  0  21 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.590
  0  22 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.530
  0  23 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.560
  0  24 | solvable   | [ L3:--/49, L4:--/175, L5:673/679 ] | [ -1, -1, 6 ] | true         | true | 0.370
  0  25 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.580
  0  26 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.510
  0  27 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.570
  0  28 | solvable   | [ L3:--/49, L4:169/175, L5:673/679 ] | [ -1, 6, 6 ] | true         | true | 0.410
  0  29 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.570
